node:Y:own:rel_shallow=det, P counts: 11146, Prec%: 100.0%, Cov%: 54.2%,  Order: left
node:Y:own:rel_shallow=cc, P counts: 1652, Prec%: 99.9%, Cov%: 8.0%,  Order: left
node:Y:own:rel_shallow=comp:obj, P counts: 15084, Prec%: 98.4%, Cov%: 38.0%,  Order: right
  node:X:own:upos=ADP, P counts: 11096, Prec%: 100.0%, Cov%: 74.8%,  Order: right
  node:Y:own:Number=Sing, P counts: 8664, Prec%: 99.1%, Cov%: 57.9%,  Order: right
    node:X:own:upos=ADP, P counts: 6753, Prec%: 100.0%, Cov%: 78.7%,  Order: right
    node:Y:own:PronType=Prs, P counts: 101, Prec%: 76.2%, Cov%: 97.5%,  Order: left
    node:Y:own:upos=PRON, P counts: 209, Prec%: 37.8%, Cov%: 100.0%,  Order: left
    node:Y:own:Person=3, P counts: 585, Prec%: 12.8%, Cov%: 94.9%,  Order: left
  node:Y:own:PronType=Prs, P counts: 186, Prec%: 75.3%, Cov%: 56.9%,  Order: left
    node:X:own:upos=ADP, P counts: 43, Prec%: 100.0%, Cov%: 93.5%,  Order: right
    node:X:own:VerbForm=Inf, P counts: 50, Prec%: 100.0%, Cov%: 35.7%,  Order: left
    node:X:own:Mood=Ind, P counts: 60, Prec%: 100.0%, Cov%: 42.9%,  Order: left
    node:X:own:VerbForm=Part, P counts: 28, Prec%: 100.0%, Cov%: 20.0%,  Order: left
    node:X:own:rel_shallow=comp:obj, P counts: 56, Prec%: 100.0%, Cov%: 40.0%,  Order: left
    node:X:child:rel_shallow=mod, P counts: 63, Prec%: 98.4%, Cov%: 44.3%,  Order: left
    node:X:parent:upos=VERB, P counts: 46, Prec%: 50.0%, Cov%: 50.0%,  Order: right
    node:X:parent:Number=Plur, P counts: 35, Prec%: 28.6%, Cov%: 21.7%,  Order: right
  node:Y:own:upos=PRON, P counts: 437, Prec%: 55.8%, Cov%: 99.2%,  Order: left
    node:Y:own:PronType=Dem, P counts: 51, Prec%: 100.0%, Cov%: 26.4%,  Order: right
    node:X:own:VerbForm=Inf, P counts: 75, Prec%: 92.0%, Cov%: 28.3%,  Order: left
    node:X:own:upos=VERB, P counts: 275, Prec%: 88.4%, Cov%: 99.6%,  Order: left
    node:X:parent:upos=VERB, P counts: 114, Prec%: 73.7%, Cov%: 43.5%,  Order: right
    node:X:parent:Mood=Cnd, P counts: 7, Prec%: 71.4%, Cov%: 2.6%,  Order: right
    node:Y:own:Person=1, P counts: 14, Prec%: 71.4%, Cov%: 5.2%,  Order: right
    node:Y:own:PronType=Rel, P counts: 138, Prec%: 68.8%, Cov%: 38.9%,  Order: left
  node:Y:own:has_child=No, P counts: 2898, Prec%: 8.4%, Cov%: 99.2%,  Order: left
    node:X:own:upos=ADP, P counts: 2465, Prec%: 100.0%, Cov%: 92.9%,  Order: right
    node:Y:own:Number=Sing, P counts: 1831, Prec%: 95.7%, Cov%: 66.0%,  Order: right
    node:Y:own:PronType=Prs, P counts: 183, Prec%: 76.5%, Cov%: 57.4%,  Order: left
    node:Y:own:PronType=Rel, P counts: 137, Prec%: 69.3%, Cov%: 38.9%,  Order: left
    node:X:child:rel_shallow=subj, P counts: 188, Prec%: 62.2%, Cov%: 48.0%,  Order: left
    node:X:own:upos=VERB, P counts: 403, Prec%: 60.3%, Cov%: 99.6%,  Order: left
  node:X:own:upos=VERB, P counts: 3164, Prec%: 7.7%, Cov%: 99.2%,  Order: left
    node:Y:own:PronType=Dem, P counts: 14, Prec%: 100.0%, Cov%: 0.5%,  Order: right
    node:Y:own:PronType=Prs, P counts: 140, Prec%: 99.3%, Cov%: 57.0%,  Order: left
    node:Y:own:PronType=Rel, P counts: 96, Prec%: 99.0%, Cov%: 38.9%,  Order: left
    node:Y:own:Number=Sing, P counts: 1453, Prec%: 94.6%, Cov%: 47.1%,  Order: right
node:Y:own:rel_shallow=subj, P counts: 3720, Prec%: 96.0%, Cov%: 17.4%,  Order: left
  node:Y:own:PronType=Rel, P counts: 340, Prec%: 100.0%, Cov%: 9.5%,  Order: left
  node:X:child:upos=NOUN, P counts: 937, Prec%: 99.1%, Cov%: 26.0%,  Order: left
    node:Y:child:Definite=Def, P counts: 317, Prec%: 100.0%, Cov%: 34.1%,  Order: left
    node:X:own:Number=Plur, P counts: 231, Prec%: 100.0%, Cov%: 24.9%,  Order: left
    node:X:parent:Number=Sing, P counts: 143, Prec%: 100.0%, Cov%: 15.4%,  Order: left
    node:X:child:Gender=Masc, P counts: 531, Prec%: 99.6%, Cov%: 56.9%,  Order: left
    node:Y:own:PronType=Prs, P counts: 257, Prec%: 99.6%, Cov%: 27.6%,  Order: left
    node:X:child:rel_shallow=comp:obj, P counts: 663, Prec%: 99.5%, Cov%: 71.0%,  Order: left
    node:X:child:upos=PUNCT, P counts: 594, Prec%: 1.2%, Cov%: 87.5%,  Order: right
  node:X:child:upos=AUX, P counts: 561, Prec%: 99.1%, Cov%: 15.6%,  Order: left
    node:X:child:PronType=Int, P counts: 9, Prec%: 55.6%, Cov%: 100.0%,  Order: right
    node:Y:own:Person=3, P counts: 79, Prec%: 6.3%, Cov%: 100.0%,  Order: right
    node:Y:own:upos=PRON, P counts: 151, Prec%: 3.3%, Cov%: 100.0%,  Order: right
  node:X:child:rel_shallow=comp:obj, P counts: 1500, Prec%: 97.7%, Cov%: 41.0%,  Order: left
    node:X:child:upos=AUX, P counts: 188, Prec%: 100.0%, Cov%: 12.8%,  Order: left
    node:X:parent:VerbForm=Fin, P counts: 117, Prec%: 100.0%, Cov%: 8.0%,  Order: left
    node:X:child:upos=ADP, P counts: 566, Prec%: 98.9%, Cov%: 38.2%,  Order: left
    node:X:child:PronType=Int, P counts: 11, Prec%: 54.5%, Cov%: 17.1%,  Order: right
    node:X:parent:upos=PRON, P counts: 32, Prec%: 15.6%, Cov%: 14.3%,  Order: right
    node:X:child:upos=PRON, P counts: 244, Prec%: 9.4%, Cov%: 65.7%,  Order: right
    node:Y:child:upos=ADP, P counts: 205, Prec%: 3.9%, Cov%: 22.9%,  Order: right
    node:X:child:VerbForm=Inf, P counts: 431, Prec%: 2.6%, Cov%: 31.4%,  Order: right
  node:Y:own:has_child=No, P counts: 1722, Prec%: 97.0%, Cov%: 46.8%,  Order: left
    node:X:own:rel_shallow=comp:obj, P counts: 305, Prec%: 100.0%, Cov%: 18.3%,  Order: left
    node:X:parent:position=before, P counts: 919, Prec%: 98.7%, Cov%: 54.3%,  Order: left
    node:X:child:Person=3, P counts: 303, Prec%: 97.4%, Cov%: 17.7%,  Order: left
    node:X:child:PronType=Int, P counts: 31, Prec%: 67.7%, Cov%: 41.2%,  Order: right
    node:X:child:upos=PROPN, P counts: 27, Prec%: 29.6%, Cov%: 15.7%,  Order: right
    node:X:parent:upos=AUX, P counts: 58, Prec%: 8.6%, Cov%: 9.8%,  Order: right
    node:Y:own:Person=3, P counts: 769, Prec%: 4.8%, Cov%: 72.5%,  Order: right
    node:X:own:Tense=Pres, P counts: 1414, Prec%: 3.3%, Cov%: 92.2%,  Order: right
  node:X:child:PronType=Int, P counts: 45, Prec%: 55.6%, Cov%: 17.0%,  Order: right
    node:X:own:rel_shallow=comp:obj, P counts: 12, Prec%: 100.0%, Cov%: 60.0%,  Order: left
    node:Y:own:rel_deep=pass, P counts: 6, Prec%: 100.0%, Cov%: 30.0%,  Order: left
    node:X:parent:Mood=Ind, P counts: 7, Prec%: 100.0%, Cov%: 35.0%,  Order: left
    node:X:parent:Number=Sing, P counts: 6, Prec%: 100.0%, Cov%: 30.0%,  Order: left
    node:Y:own:upos=PRON, P counts: 24, Prec%: 87.5%, Cov%: 84.0%,  Order: right
    node:Y:own:upos=PROPN, P counts: 9, Prec%: 77.8%, Cov%: 35.0%,  Order: left
    node:X:own:rel_shallow=root, P counts: 31, Prec%: 77.4%, Cov%: 96.0%,  Order: right
    node:X:child:Number=Sing, P counts: 20, Prec%: 65.0%, Cov%: 65.0%,  Order: left
    node:X:own:Tense=Pres, P counts: 36, Prec%: 63.9%, Cov%: 92.0%,  Order: right
    node:X:child:rel_deep=expl, P counts: 11, Prec%: 63.6%, Cov%: 35.0%,  Order: left
  node:X:own:rel_shallow=parataxis:insert, P counts: 48, Prec%: 50.0%, Cov%: 16.3%,  Order: right
    node:X:parent:upos=NOUN, P counts: 15, Prec%: 93.3%, Cov%: 58.3%,  Order: left
    node:X:child:rel_shallow=comp:obj, P counts: 19, Prec%: 84.2%, Cov%: 66.7%,  Order: left
    node:X:own:Tense=Imp, P counts: 8, Prec%: 75.0%, Cov%: 25.0%,  Order: right
    node:X:child:upos=ADP, P counts: 8, Prec%: 75.0%, Cov%: 25.0%,  Order: left
    node:Y:own:has_child=No, P counts: 28, Prec%: 71.4%, Cov%: 83.3%,  Order: left
    node:X:own:Number=Sing, P counts: 39, Prec%: 61.5%, Cov%: 100.0%,  Order: right
    node:X:child:upos=VERB, P counts: 14, Prec%: 57.1%, Cov%: 33.3%,  Order: right
    node:X:parent:upos=VERB, P counts: 23, Prec%: 56.5%, Cov%: 54.2%,  Order: right
    node:X:own:upos=VERB, P counts: 40, Prec%: 50.0%, Cov%: 83.3%,  Order: left
  node:X:child:upos=PRON, P counts: 494, Prec%: 8.9%, Cov%: 29.9%,  Order: right
    node:X:parent:Mood=Ind, P counts: 41, Prec%: 100.0%, Cov%: 9.1%,  Order: left
    node:X:child:Polarity=Neg, P counts: 49, Prec%: 100.0%, Cov%: 10.9%,  Order: left
    node:X:child:PronType=Ind, P counts: 14, Prec%: 100.0%, Cov%: 3.1%,  Order: left
    node:X:child:upos=ADP, P counts: 239, Prec%: 97.1%, Cov%: 51.6%,  Order: left
    node:Y:own:rel_deep=pass, P counts: 47, Prec%: 95.7%, Cov%: 10.0%,  Order: left
    node:X:child:PronType=Int, P counts: 26, Prec%: 65.4%, Cov%: 38.6%,  Order: right
    node:Y:child:rel_shallow=mod, P counts: 62, Prec%: 22.6%, Cov%: 31.8%,  Order: right
    node:X:parent:Gender=Masc, P counts: 90, Prec%: 16.7%, Cov%: 34.1%,  Order: right
    node:X:parent:upos=SCONJ, P counts: 74, Prec%: 10.8%, Cov%: 18.2%,  Order: right
  node:Y:own:rel_deep=expl, P counts: 237, Prec%: 7.6%, Cov%: 12.2%,  Order: right
    node:X:child:rel_shallow=subj, P counts: 9, Prec%: 100.0%, Cov%: 50.0%,  Order: right
    node:X:child:PronType=Int, P counts: 9, Prec%: 100.0%, Cov%: 50.0%,  Order: right
    node:X:child:rel_deep=agent, P counts: 77, Prec%: 100.0%, Cov%: 35.2%,  Order: left
    node:X:parent:upos=VERB, P counts: 9, Prec%: 100.0%, Cov%: 4.1%,  Order: left
    node:X:child:upos=ADP, P counts: 127, Prec%: 97.6%, Cov%: 56.6%,  Order: left
